1,2,3,4,5,6,7,8,9,label
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
papricka,chleba na vrchu,maslo,stul,syr,sunka,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,none,none,none,none,none,none,none,none,0
sunka,chleba ve spodu,papricka,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,syr,papricka,chleba na vrchu,none,none,1
chleba ve spodu,podlaha,chleba na vrchu,syr,papricka,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
stul,papricka,podlaha,chleba ve spodu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
papricka,vajicka,syr,sunka,podlaha,none,none,none,none,0
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
stul,chleba ve spodu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
stul,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
vajicka,podlaha,syr,papricka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
sunka,podlaha,vajicka,chleba ve spodu,chleba na vrchu,none,none,none,none,0
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
chleba na vrchu,podlaha,sunka,vajicka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
stul,sunka,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
maslo,chleba na vrchu,chleba ve spodu,none,none,none,none,none,none,0
vajicka,podlaha,maslo,none,none,none,none,none,none,0
vajicka,chleba na vrchu,syr,sunka,none,none,none,none,none,0
chleba ve spodu,maslo,chleba na vrchu,papricka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
syr,papricka,none,none,none,none,none,none,none,0
maslo,chleba na vrchu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
syr,chleba ve spodu,podlaha,none,none,none,none,none,none,0
podlaha,syr,maslo,stul,none,none,none,none,none,0
chleba na vrchu,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,syr,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
papricka,maslo,chleba ve spodu,vajicka,podlaha,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
maslo,syr,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,papricka,none,none,none,none,1
syr,stul,none,none,none,none,none,none,none,0
chleba ve spodu,maslo,podlaha,chleba na vrchu,syr,papricka,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
syr,chleba na vrchu,stul,papricka,vajicka,sunka,none,none,none,0
maslo,syr,vajicka,sunka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
maslo,none,none,none,none,none,none,none,none,0
vajicka,syr,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
syr,vajicka,chleba na vrchu,podlaha,sunka,none,none,none,none,0
syr,podlaha,stul,none,none,none,none,none,none,0
chleba na vrchu,podlaha,vajicka,syr,maslo,papricka,stul,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,chleba na vrchu,maslo,stul,vajicka,none,none,none,none,0
podlaha,none,none,none,none,none,none,none,none,0
chleba ve spodu,papricka,chleba na vrchu,syr,podlaha,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,papricka,none,none,none,1
podlaha,maslo,chleba na vrchu,stul,chleba ve spodu,papricka,syr,none,none,0
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
sunka,syr,chleba ve spodu,chleba na vrchu,vajicka,podlaha,stul,none,none,0
chleba ve spodu,sunka,syr,stul,podlaha,none,none,none,none,0
vajicka,sunka,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,papricka,none,none,none,1
papricka,vajicka,syr,stul,chleba ve spodu,sunka,none,none,none,0
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
stul,podlaha,syr,chleba na vrchu,chleba ve spodu,maslo,papricka,vajicka,none,0
chleba ve spodu,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,syr,papricka,none,none,1
chleba ve spodu,stul,maslo,none,none,none,none,none,none,0
syr,none,none,none,none,none,none,none,none,0
chleba ve spodu,podlaha,stul,vajicka,chleba na vrchu,none,none,none,none,0
maslo,stul,vajicka,chleba ve spodu,sunka,none,none,none,none,0
vajicka,chleba ve spodu,stul,none,none,none,none,none,none,0
vajicka,papricka,chleba na vrchu,syr,chleba ve spodu,none,none,none,none,0
maslo,chleba na vrchu,sunka,none,none,none,none,none,none,0
syr,maslo,podlaha,vajicka,chleba ve spodu,sunka,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
syr,none,none,none,none,none,none,none,none,0
maslo,vajicka,stul,chleba ve spodu,none,none,none,none,none,0
syr,stul,papricka,vajicka,chleba ve spodu,podlaha,none,none,none,0
podlaha,stul,chleba ve spodu,syr,papricka,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,none,none,none,none,none,1
papricka,stul,maslo,sunka,syr,podlaha,chleba na vrchu,chleba ve spodu,none,0
syr,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
chleba ve spodu,stul,maslo,none,none,none,none,none,none,0
maslo,papricka,none,none,none,none,none,none,none,0
podlaha,sunka,none,none,none,none,none,none,none,0
chleba ve spodu,maslo,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,none,none,none,1
podlaha,syr,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
maslo,sunka,papricka,chleba ve spodu,vajicka,stul,none,none,none,0
stul,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
chleba ve spodu,none,none,none,none,none,none,none,none,0
chleba ve spodu,vajicka,sunka,papricka,stul,maslo,none,none,none,0
sunka,vajicka,syr,chleba ve spodu,maslo,none,none,none,none,0
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,papricka,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
stul,maslo,vajicka,chleba na vrchu,syr,none,none,none,none,0
vajicka,papricka,maslo,syr,none,none,none,none,none,0
syr,papricka,vajicka,chleba na vrchu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,none,none,none,none,none,none,none,none,0
syr,vajicka,chleba ve spodu,maslo,stul,papricka,sunka,none,none,0
maslo,stul,chleba na vrchu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,chleba na vrchu,none,none,none,none,1
papricka,sunka,maslo,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
sunka,stul,podlaha,syr,chleba ve spodu,papricka,none,none,none,0
maslo,chleba na vrchu,papricka,stul,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
sunka,podlaha,vajicka,chleba na vrchu,syr,stul,maslo,none,none,0
sunka,stul,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,chleba na vrchu,none,none,none,none,1
vajicka,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
stul,chleba ve spodu,syr,podlaha,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,papricka,chleba na vrchu,none,none,none,1
podlaha,chleba na vrchu,papricka,stul,vajicka,none,none,none,none,0
chleba ve spodu,podlaha,papricka,sunka,maslo,none,none,none,none,0
vajicka,stul,sunka,papricka,none,none,none,none,none,0
chleba na vrchu,papricka,sunka,maslo,chleba ve spodu,vajicka,syr,none,none,0
podlaha,chleba ve spodu,papricka,syr,none,none,none,none,none,0
maslo,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,chleba na vrchu,none,none,none,none,1
sunka,podlaha,maslo,syr,stul,chleba na vrchu,chleba ve spodu,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
maslo,podlaha,chleba na vrchu,none,none,none,none,none,none,0
chleba na vrchu,sunka,papricka,stul,chleba ve spodu,maslo,vajicka,syr,none,0
podlaha,chleba na vrchu,papricka,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
chleba na vrchu,vajicka,podlaha,none,none,none,none,none,none,0
maslo,chleba na vrchu,chleba ve spodu,sunka,stul,none,none,none,none,0
chleba ve spodu,papricka,chleba na vrchu,podlaha,stul,vajicka,none,none,none,0
podlaha,maslo,syr,chleba na vrchu,chleba ve spodu,none,none,none,none,0
stul,podlaha,maslo,papricka,vajicka,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
papricka,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
chleba na vrchu,podlaha,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,papricka,chleba na vrchu,none,none,none,1
stul,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,chleba na vrchu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
podlaha,vajicka,sunka,none,none,none,none,none,none,0
podlaha,sunka,none,none,none,none,none,none,none,0
chleba na vrchu,vajicka,podlaha,none,none,none,none,none,none,0
vajicka,none,none,none,none,none,none,none,none,0
chleba ve spodu,maslo,syr,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,syr,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,chleba na vrchu,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
syr,papricka,chleba ve spodu,maslo,none,none,none,none,none,0
podlaha,none,none,none,none,none,none,none,none,0
maslo,none,none,none,none,none,none,none,none,0
stul,maslo,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,syr,papricka,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,chleba na vrchu,none,none,none,none,1
papricka,maslo,chleba ve spodu,sunka,chleba na vrchu,podlaha,syr,stul,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,syr,none,none,none,1
vajicka,podlaha,none,none,none,none,none,none,none,0
chleba ve spodu,podlaha,vajicka,none,none,none,none,none,none,0
chleba na vrchu,maslo,podlaha,stul,syr,chleba ve spodu,vajicka,none,none,0
chleba na vrchu,sunka,syr,stul,podlaha,papricka,none,none,none,0
podlaha,chleba ve spodu,chleba na vrchu,sunka,stul,none,none,none,none,0
maslo,stul,syr,papricka,chleba na vrchu,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
chleba na vrchu,papricka,podlaha,none,none,none,none,none,none,0
vajicka,sunka,maslo,stul,syr,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,syr,none,none,none,1
chleba ve spodu,sunka,stul,none,none,none,none,none,none,0
podlaha,papricka,sunka,chleba ve spodu,none,none,none,none,none,0
vajicka,chleba ve spodu,podlaha,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
chleba ve spodu,podlaha,chleba na vrchu,papricka,none,none,none,none,none,0
papricka,none,none,none,none,none,none,none,none,0
papricka,stul,sunka,maslo,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
papricka,syr,stul,chleba na vrchu,chleba ve spodu,none,none,none,none,0
chleba na vrchu,sunka,maslo,papricka,none,none,none,none,none,0
chleba ve spodu,sunka,chleba na vrchu,papricka,none,none,none,none,none,0
chleba na vrchu,vajicka,stul,maslo,syr,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,none,none,none,1
chleba na vrchu,maslo,chleba ve spodu,stul,none,none,none,none,none,0
chleba na vrchu,chleba ve spodu,podlaha,vajicka,syr,none,none,none,none,0
papricka,chleba na vrchu,chleba ve spodu,vajicka,none,none,none,none,none,0
chleba ve spodu,maslo,stul,sunka,papricka,podlaha,none,none,none,0
podlaha,stul,chleba ve spodu,papricka,none,none,none,none,none,1
podlaha,maslo,none,none,none,none,none,none,none,0
vajicka,none,none,none,none,none,none,none,none,0
sunka,chleba ve spodu,maslo,syr,vajicka,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
chleba na vrchu,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
stul,maslo,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
stul,papricka,podlaha,vajicka,none,none,none,none,none,0
stul,vajicka,podlaha,maslo,syr,none,none,none,none,0
syr,none,none,none,none,none,none,none,none,0
chleba ve spodu,sunka,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,chleba na vrchu,none,none,none,1
podlaha,chleba ve spodu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
maslo,sunka,chleba na vrchu,syr,chleba ve spodu,stul,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
chleba ve spodu,stul,vajicka,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
syr,stul,chleba na vrchu,papricka,podlaha,maslo,vajicka,none,none,0
syr,sunka,chleba na vrchu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
chleba ve spodu,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
chleba na vrchu,papricka,none,none,none,none,none,none,none,0
papricka,maslo,chleba na vrchu,vajicka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
vajicka,chleba ve spodu,stul,maslo,chleba na vrchu,podlaha,sunka,syr,none,0
maslo,chleba ve spodu,chleba na vrchu,podlaha,papricka,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
chleba na vrchu,papricka,none,none,none,none,none,none,none,0
sunka,chleba ve spodu,none,none,none,none,none,none,none,0
stul,maslo,vajicka,chleba ve spodu,papricka,none,none,none,none,0
papricka,chleba na vrchu,maslo,stul,chleba ve spodu,none,none,none,none,0
papricka,podlaha,stul,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,syr,chleba na vrchu,none,none,1
chleba ve spodu,podlaha,chleba na vrchu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
stul,papricka,maslo,chleba na vrchu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
podlaha,sunka,syr,stul,papricka,none,none,none,none,0
podlaha,stul,none,none,none,none,none,none,none,0
chleba na vrchu,syr,vajicka,podlaha,papricka,none,none,none,none,0
syr,sunka,chleba na vrchu,stul,vajicka,none,none,none,none,0
stul,syr,chleba na vrchu,podlaha,sunka,papricka,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
maslo,chleba ve spodu,papricka,chleba na vrchu,stul,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,papricka,none,none,none,1
chleba na vrchu,vajicka,chleba ve spodu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
syr,chleba ve spodu,vajicka,chleba na vrchu,podlaha,none,none,none,none,0
stul,chleba na vrchu,podlaha,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
papricka,chleba ve spodu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
maslo,syr,chleba na vrchu,papricka,sunka,vajicka,none,none,none,0
sunka,chleba na vrchu,podlaha,vajicka,papricka,maslo,chleba ve spodu,none,none,0
podlaha,stul,chleba ve spodu,sunka,papricka,chleba na vrchu,none,none,none,1
stul,vajicka,syr,none,none,none,none,none,none,0
chleba ve spodu,stul,chleba na vrchu,papricka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,sunka,stul,chleba na vrchu,none,none,none,none,none,0
papricka,chleba ve spodu,none,none,none,none,none,none,none,0
syr,maslo,papricka,chleba ve spodu,vajicka,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,chleba na vrchu,none,none,none,none,1
vajicka,sunka,maslo,chleba na vrchu,podlaha,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
chleba na vrchu,podlaha,stul,none,none,none,none,none,none,0
maslo,podlaha,stul,papricka,chleba ve spodu,none,none,none,none,0
podlaha,papricka,vajicka,none,none,none,none,none,none,0
